ID,Order,Suborder,Superfamily,Family,Subfamily,Tribu,Subtribu,GenusOriginal,Genus,Subgenus,Species,Subspecies,Author,Year,Type,Stage,Validity,Rejections,Accessions,Citation,Host,HostOrgan,Locality,City,Country,Continent,LATD,LOND,CollectionDate,Collector,CollectionMethod,Taxonomist,DateDetermination,Institution,Observations,Order
CIP-003-96,Lepidoptera,Glossata,Gelechioidea,Gelechiidae,Gelechiinae,Gnorimoschemini,,Scrobipalpula,Tuta,,absoluta,,Povolny,1917,,,,,3,,,,Ica,Ica,Perú,America del Sur,,,1-Feb-95,"Cañedo, V.",,,,,,53
CIP-003-97,,,,,,,,,,,,,,,,,,,,,,,Huancayo,Huancayo,Perú,America del Sur,,,1-Aug-96,"Ore, F.",,,,,característicos Ex. PTM,54
CIP-003-98,Hemiptera,Sternorrhyncha,Psylloidea,Psyllidae,Spondyliaspininae,,,,Ctenarytaina,,eucalypti,,(Maskell),1890,,,,,5,,,,Tacna,Tacna,Perú,America del Sur,,,2-Feb-98,"Cañedo, V.",,"Gill, R. J.",9-Nov-98,,Eucalipto para enviar a identificar,55
CIP-003-99,Hymenoptera,Apocrita,Ichneumonoidea,Ichneumonidae,Cremastinae,,,,Temelucha,,sp.,,,,,,,,1,,,,Lima,Lima,Perú,America del Sur,,,22-Jul-97,"Cañedo, V.",,,,,"En plantas de papa tomasa, parasitoide s.a<img class=""emoticon"" src=""/confluence/images/icons/emoticons/star_yellow.gif"" height=""16"" width=""16"" align=""absmiddle"" alt="""" border=""0""/> <img class=""emoticon"" src=""/confluence/images/icons/emoticons/star_yellow.gif"" height=""16"" width=""16"" align=""absmiddle"" alt="""" border=""0""/> placa s.a.",56
CIP-004-04,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,Premnotrypini ,,,Premnotrypes,,fractirostris,,Marshal,1936,,,,,2,,,,Huancayo,Huancayo,Perú,America del Sur,,,1-Jan-04,"Alcazar, J.",,,,,,57
CIP-004-05,Diptera,Brachycera,Muscoidea,Muscidae,,,,,,,,,,,,,,,1,,,,San Bartolo,Huasahuasi,Perú,America del Sur,,,22-Jun-05,"Cañedo, V.",Trampa de interceptacion,"Doria, C.",3-Sep-05,,,58
CIP-004-06,Diptera,Nematocera,Chironomoidea,Chironomidae,,,,,,,sp. 2,,,,,,,,3,,,,Malambo,Junín,Perú,America del Sur,,,16-Mar-06,"Cañedo, V.",Trampa malaise,,,,,59
CIP-004-07,Coleoptera,Adephaga,Caraboidea,Carabidae, Platyninae,Platynini,Platynina s.str.,,Incagonum,, sp. cerca de chilense ,,Dejean,1831,,,,,3,,,,Aymará,Apurimac,Perú,America del Sur,,,26-Dec-05,"Alcazar, J.",,,,,A-C-10 14-15 Sp. 16,60
CIP-004-08,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,Lassinae,,,,,,,,,,,,,1,2,,,,Paraccho,Huancayo,Perú,America del Sur,,,15-Jun-06,"Cañedo, V.",Trampa Malaise,,,,S/I     ,61
CIP-004-88,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Scolytinae,Cryphalini,,,Scolytogenes,,sp.,,,,,,,10,10,,Sweetpotato,,La Molina,Lima,Perú,America del Sur,,,30-May-88,"Palacios, M.",,"Anderson, D.M. ",17-Jun-88,,Pulderiz tuberculos de Ipomoea Batata Camote,62
CIP-004-89,Hymenoptera,Apocrita,Chalcidoidea,Pteromalidae,Miscogasterinae,,,,Halticoptera,,sp. (peruviana),,,,,,,,5,,,,La Molina,Lima,Perú,America del Sur,,,15-Sep-85,"Palacios, M.",,,,,Halticoptera con patas blancas papa parasito de mosca,63
CIP-004-90,Lepidoptera,Glossata,Pyraloidea,Crambidae,Spilomelinae,,,Sylepta,Microthyris,,helcitalis,,Walker,1859,,,,,3,,Sweetpotato,,Carabayllo,Lima,Perú,America del Sur,,,13-Dec-89,"Cañedo, V.",,,,,,64
CIP-004-91,Hymenoptera,Apocrita,Chalcidoidea,Encyrtidae,Encyrtinae,,,,Copidosoma,,koehleri,,Blanchard,1940,,,,10,3,,,,,,,,,,9-Jan-91,"Fabian, O.",,"Noyes, J.S. ",3-May-91,,Parasito poliembrionico de Pathorimaea opumlella. Enviada a UK para identificacion de sp.,65
